Date,Quantity,Discount,Salesperson,TotalPrice,Promotion,Returned,OrderID,CustomerName,ShippingCost,OrderDate,DeliveryDate,RegionManager,Region_Central,Region_East,Region_North,Region_South,Region_West,Product_Chair,Product_Desk,Product_Laptop,Product_Monitor,Product_Phone,Product_Printer,Product_Tablet,StoreLocation_Store A,StoreLocation_Store B,StoreLocation_Store C,StoreLocation_Store D,CustomerType_Wholesale,PaymentMethod_Cash,PaymentMethod_Credit Card,PaymentMethod_Debit Card,PaymentMethod_Gift Card,PaymentMethod_Online,DeliveryTime,Avg_Price_Per_Item
2023-02-23,14,0.0,Eva,2290.4,FREESHIP,0,REG100000,Cust 6583,43.34,2023-02-23,2023-02-27,Eric,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,4,163.6
2024-12-19,1,0.0,Alice,544.01,SAVE10,0,REG100001,Cust 2144,5.3,2024-12-19,2024-12-28,Sophie,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,9,544.01
2023-05-10,14,0.1,Alice,4361.868,WINTER15,0,REG100002,Cust 5998,20.46,2023-05-10,2023-05-19,Ryan,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,9,311.562
2025-02-26,18,0.15,Frank,5887.746,FREESHIP,0,REG100003,Cust 7136,27.95,2025-02-26,2025-03-02,Cameron,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,4,327.097
2023-06-24,18,0.0,Carlos,4279.68,SAVE10,0,REG100004,Cust 6506,5.73,2023-06-24,2023-06-27,Eric,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,237.76000000000002
2024-02-20,2,0.15,Diana,654.6529999999999,FREESHIP,0,REG100005,Cust 3909,11.92,2024-02-20,2024-03-01,Cameron,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,10,327.32649999999995
2023-01-11,7,0.1,Alice,110.25,WINTER15,0,REG100006,Cust 7887,5.02,2023-01-11,2023-01-14,Sophie,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,15.75
2023-01-09,3,0.15,Carlos,842.061,SAVE10,0,REG100007,Cust 5301,48.01,2023-01-09,2023-01-11,Cameron,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2,280.687
2024-10-16,3,0.05,Bob,1231.314,FREESHIP,1,REG100008,Cust 2284,42.11,2024-10-16,2024-10-18,Sophie,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,2,410.43800000000005
2025-03-05,5,0.1,Frank,1454.76,SAVE10,0,REG100009,Cust 3732,41.1,2025-03-05,2025-03-13,Wendy,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,8,290.952
